customer_info,order_date,product_id,price,quantity,shipping_address,status,discount,customer_rating,category_tag
,2024-01-04,1019,"269,51",9,"Atatürk Cad. No:12, Sakarya, Turkey",Shipped,,4,Books
Hakan Doğan|hakan37@outlook.com|05292800206,2023-05-18,1002,"209,58",0,"İstiklal Cad. No:7, Ankara, Turkey",Shippd,0.05,2,clothing
Mert Öztürk|mert1@hotmail.com|05393426689,2024-08-24,1016,$19.29,0,"Cumhuriyet Blv. No:3, Antalya, TR",Returned,25%,0,Books
Deniz Kurt|deniz77@yahoo.com|05147058670,20/04/2023,1001,180.19,-1,"Gazi Cad. No:88, Bursa, Türkiye",PROCESSING,25%,,home
Tarık Güneş|tarık71@hotmail.com|05234233407,06-16-2024,1018,"421,19",-2,,Shippd,,4,
Fatma Şahin|fatma3@yahoo.com|05392154992,2023-06-03,1006,316.62,1,"Gazi Cad. No:88, Antalya, Turkey",PROCESSING,5%,,Electronics
Ayşe Polat|ayşe45@hotmail.com|05335014060,12/09/2024,1010,481.95,19,"İstiklal Cad. No:7, Ankara, Turkey",Cancelled,0.15,3,Electronics
Hakan Doğan|hakan58@gmail.com|05216338793,03/08/2023,1014,€480.53,17,"Millet Cad. No:22, Istanbul, Turkey",Delivered,0.10,3,home
Gül Yıldız|gül88@hotmail.com|05167499587,2024-12-28,1005,7.15,12,"Millet Cad. No:22, Istanbul, Türkiye",PROCESSING,25%,4,Home & Garden
Emre Demir|emre3@hotmail.com|05334955699,2023-06-03,1004,$46.52,6,"Atatürk Cad. No:12, Sakarya, TURKEY",Processing,15%,5,clothing
Barış Erdoğan|barış33@gmail.com|05248736811,2023-10-22,1010,"374,65",4,"Gazi Cad. No:88, Izmir, Türkiye",Shiped,0.10,2,clothing
Selin Koç|selin48@outlook.com|05353078241,07-01-2023,1007,"109,64",11,"İstiklal Cad. No:7, Adana, TR",,30%,0,Electronics
Zeynep Kaya|zeynep45@outlook.com|05199745141,12-14-2024,1020,124.13,-3,"Gazi Cad. No:88, Bursa, TR",Shipped,15%,2,clothing
Gül Yıldız|gül69@gmail.com|05253679315,17/03/2024,1004,124.66,7,"İstiklal Cad. No:7, Istanbul, TURKEY",Cancelled,10%,5,
Elif Çelik|elif82@hotmail.com|05157393310,2024-10-08,1002,$53.99,9,"Atatürk Cad. No:12, Ankara, Turkey",Processing,15%,1,Books
Tarık Güneş|tarık69@yahoo.com|05585286905,03-15-2023,1003,"224,34",5,,Delivered,0.05,4,Electronics
Fatma Şahin|fatma98@yahoo.com|05193503120,2023-09-28,1016,€437.0,0,"Bağdat Cad. No:45, Istanbul, Turkey",Cancelled,0.05,4,
Barış Erdoğan|barış17@outlook.com|05159562677,31/07/2024,1020,$113.47,4,"Millet Cad. No:22, Istanbul, Türkiye",Cancelled,20%,4,electronics
Hakan Doğan|hakan78@yahoo.com|05537813102,2023-11-23,1017,$88.47,17,"Bağdat Cad. No:45, Sakarya, TURKEY",Processing,0.15,3,Home & Garden
Mert Öztürk|mert72@hotmail.com|05309049765,2023-04-22,1020,$100.17,12,"Millet Cad. No:22, Antalya, Turkey",Shipped,,5,Clothing
Elif Çelik|elif51@hotmail.com|05556587495,2024-06-03,1018,€184.45,3,"Cumhuriyet Blv. No:3, Sakarya, Türkiye",Delivered,25%,2,Books
Hakan Doğan|hakan58@gmail.com|05216338793,03/08/2023,1014,€480.53,17,"Millet Cad. No:22, Istanbul, Turkey",Delivered,0.10,3,home
Elif Çelik|elif70@gmail.com|05423997281,15/05/2024,1005,"84,19",17,"Bağdat Cad. No:45, Istanbul, Türkiye",Shipped,,,Electronics
,2024-01-04,1019,"269,51",9,"Atatürk Cad. No:12, Sakarya, Turkey",Shipped,,4,Books
Ahmet Yılmaz|ahmet89@outlook.com|05409977469,03/11/2023,1002,€181.64,18,"Atatürk Cad. No:12, Antalya, TR",Processing,15%,4,BOOKS
Emre Demir|emre94@outlook.com|05359650558,2023-03-06,1009,492.82,13,"Cumhuriyet Blv. No:3, Izmir, TR",Processing,20%,3,Books
Barış Erdoğan|barış33@gmail.com|05248736811,2023-10-22,1010,"374,65",4,"Gazi Cad. No:88, Izmir, Türkiye",Shiped,0.10,2,clothing
Ayşe Polat|ayşe50@gmail.com|05328501590,11-26-2024,1020,€275.01,2,"Gazi Cad. No:88, Ankara, Turkey",Deliverd,25%,2,BOOKS
Elif Çelik|elif73@yahoo.com|05114475536,2024-11-24,1002,"205,61",-1,"Millet Cad. No:22, Adana, TR",Delivered,0.15,4,Books
